belle	 11:23 
Geder	 26:09 
Poiviel	 03:00 
Topblast	 53:04 
Tearhead	 11:43 
Miryred	 06:00 
Tim	 04:25 
Rusty	 12:28 
jnquintyne	 09:46 
sirChris	 09:49 
Wieath	 27:08 
Brarro	 28:56 
Lomad	 22:32 
Lazarus	 20:02 
chenzo	 35:00 
Meakith	 23:11 
BOB	 24:32 
Etlund	 28:16 
Zammi	 31:16 
derek	 30:02 
Zero	 28:58 
Nicey	 30:46 
B77W	 37:27 
Zaomond	 39:57 
ramaJ	 36:03 
Arardon	 41:03 
Ender	 28:13 
Occath	 23:04 
