
Token	 0 	 0	 0	 0
414000240	 15 	 30	 13	 4
412002118	 9 	 22	 12	 1
413001959	 14 	 24	 15	 3
413000381	 11 	 31	 12	 5
413000771	 13 	 20	 9	 3
412001141	 16 	 30	 15	 4
413002549	 21 	 30	 17	 4
413000513	 18 	 23	 15	 4
410000751	 25 	 28	 16	 4
413001265	 16 	 38	 17	 4
411002471	 13 	 26	 12	 3
414000258	 16 	 19	 12	 5
413001905	 16 	 29	 16	 5
412001253	 16 	 30	 15	 3
411002719	 9 	 20	 15	 3
414001109	 14 	 22	 11	 7
410001849	 15 	 19	 8	 2
413000033	 12 	 27	 8	 2
411002904	 12 	 23	 10	 3
414000196	 12 	 14	 8	 2
413002668	 5 	 16	 12	 2
414000734	 22 	 33	 17	 5
411000943	 10 	 20	 18	 4
