1445969759,Player,Geder,has,logged,in,and,is,assigned,the,id,933,point:14,234
1445969795,Player,Geder,933,is,at,point:,16,241,,,,,
1445969835,Player,Geder,933,is,at,point:,21,240,,,,,
1445969838,Player,Geder,933,is,at,point:,29,235,,,,,
1445969841,Player,Geder,933,is,at,point:,34,228,,,,,
1445969855,Player,Geder,933,is,at,point:,32,229,,,,,
1445969864,Player,Geder,933,has,attacked,a,"mob,",player,hp:68,,,,
1445969864,Player,Geder,933,has,attacked,a,"mob,",player,hp:68,,,,
1445969865,Player,Geder,933,has,attacked,a,"mob,",player,hp:63,,,,
1445969867,Player,Geder,933,is,at,point:,37,228,,,,,
1445969871,Player,Geder,933,is,at,point:,45,216,,,,,
1445969873,Player,Geder,933,is,at,point:,38,204,,,,,
1445969876,Player,Geder,933,is,at,point:,44,192,,,,,
1445969879,Player,Geder,933,is,at,point:,44,180,,,,,
1445969881,Player,Geder,933,is,at,point:,44,168,,,,,
1445969884,Player,Geder,933,is,at,point:,44,156,,,,,
1445969906,Player,Poiviel,has,logged,in,and,is,assigned,the,id,1272,point:14,224
1445969908,Player,Geder,933,is,at,point:,46,157,,,,,
1445969911,Player,Geder,933,is,at,point:,48,169,,,,,
1445969913,Player,Geder,933,is,at,point:,41,181,,,,,
1445969916,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969917,Player,Geder,933,is,at,point:,43,193,,,,,
1445969919,Player,Geder,933,is,at,point:,38,205,,,,,
1445969923,Player,Poiviel,1272,has,has,recieved,a,flask,,,,,
1445969924,Player,Geder,933,is,at,point:,28,213,,,,,
1445969926,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969927,Player,Poiviel,1272,has,has,recieved,a,flask,,,,,
1445969929,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969929,Player,Poiviel,1272,has,has,recieved,a,flask,,,,,
1445969930,Player,Poiviel,1272,has,has,recieved,a,flask,,,,,
1445969931,Player,Geder,933,has,has,recieved,a,firepotion,,,,,
1445969932,Player,Poiviel,1272,has,has,recieved,a,flask,,,,,
1445969936,Player,Poiviel,1272,is,at,point:,10,216,,,,,
1445969957,Player,Topblast,has,logged,in,and,is,assigned,the,id,1472,point:13,225
1445969959,Player,Topblast,1472,has,left,the,game,at,point:13,225,,,
1445969965,Player,Geder,933,is,at,point:,10,217,,,,,
1445969967,Player,Poiviel,1272,is,at,point:,10,217,,,,,
1445969968,Player,Geder,933,has,has,recieved,a,axe,,,,,
1445969973,Player,Geder,933,is,at,point:,13,226,,,,,
1445969974,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969975,Player,Geder,933,is,at,point:,11,228,,,,,
1445969977,Player,Geder,933,has,has,recieved,a,mailarmor,,,,,
1445969979,Player,Poiviel,1272,has,has,recieved,a,leatherarmor,,,,,
1445969983,Player,Geder,933,is,at,point:,10,229,,,,,
1445969989,Player,Geder,933,is,at,point:,19,241,,,,,
1445969991,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969992,Player,Geder,933,has,has,recieved,a,flask,,,,,
1445969992,Player,Poiviel,1272,is,at,point:,11,229,,,,,
1445970001,Player,Tearhead,has,logged,in,and,is,assigned,the,id,1582,point:42,233
1445970016,Player,Geder,933,is,at,point:,26,240,,,,,
