
1445966818.1138	skeleton 11839 has died of old age at point:6 298
1445966818.1143	skeleton 118310 has died of old age at point:14 206
1445966818.1152	skeleton 118311 has died of old age at point:74 128
1445966818.116	skeleton 118312 has died of old age at point:23 206
1445966818.1169	skeleton 118313 has died of old age at point:20 214
1445966818.1176	skeleton 118314 has died of old age at point:12 247
1445966818.118	bat 11980 has died of old age at point:79 127
1445966818.119	bat 11981 has died of old age at point:39 207
1445966818.1195	bat 11982 has died of old age at point:39 232
1445966818.1204	bat 11983 has died of old age at point:13 211
1445966818.1211	bat 11984 has died of old age at point:14 227
1445966818.122	bat 11985 has died of old age at point:20 293
1445966818.1225	bat 12080 has died of old age at point:6 292
1445966818.1233	bat 12081 has died of old age at point:45 285
1445966818.1242	bat 12082 has died of old age at point:50 246
1445966818.1247	bat 12083 has died of old age at point:51 243
1445966818.1252	bat 12084 has died of old age at point:42 128
1445966818.1257	bat 12085 has died of old age at point:43 124
1445966818.1265	skeleton 12230 has died of old age at point:34 124
1445966818.1273	skeleton 12231 has died of old age at point:31 139
1445966818.1281	skeleton 12232 has died of old age at point:53 261
1445966818.1291	skeleton 12233 has died of old age at point:46 214
1445966818.1299	skeleton 12234 has died of old age at point:41 139
1445966818.1308	skeleton 12235 has died of old age at point:12 141
1445966818.1316	skeleton 12236 has died of old age at point:55 272
1445966818.1325	skeleton 12237 has died of old age at point:44 210
1445966818.1334	skeleton 12238 has died of old age at point:48 269
1445966818.1341	skeleton 12239 has died of old age at point:22 223
1445966818.1349	skeleton 122310 has died of old age at point:40 225
1445966818.1358	skeleton 122311 has died of old age at point:39 211
1445966818.1367	skeleton 122312 has died of old age at point:11 298
1445966818.1375	skeleton 122313 has died of old age at point:7 248
1445966818.1382	skeleton 122314 has died of old age at point:52 270
1445966824.9923	bat 1386 has been killed by belle 1031 at point: 69 226
1445966843.9645	rat 1027 has died of old age at point:28 157
1445966843.9654	bat 1186 has died of old age at point:54 273
1445966843.9659	bat 1187 has died of old age at point:78 129
1445966843.9667	bat 1188 has died of old age at point:12 250
1445966843.9672	bat 1189 has died of old age at point:39 271
1445966843.968	bat 1286 has died of old age at point:10 250
1445966843.9688	bat 1287 has died of old age at point:33 220
1445966843.9693	goblin 15415 has died of old age at point:13 141
1445966843.9702	goblin 15416 has died of old age at point:31 141
1445966843.971	goblin 15417 has died of old age at point:53 258
1445966843.9719	goblin 16415 has died of old age at point:51 261
1445966843.9727	goblin 16416 has died of old age at point:50 260
1445966843.9736	goblin 16417 has died of old age at point:18 139
1445966843.9744	goblin 16418 has died of old age at point:20 213
1445966843.9752	rat 1727 has died of old age at point:55 138
1445966843.976	rat 1728 has died of old age at point:8 251
1445966843.9765	rat 1827 has died of old age at point:33 276
1445966843.9773	rat 1828 has died of old age at point:73 222
1445966843.9782	rat 1829 has died of old age at point:50 263
1445966843.979	crab 1977 has died of old age at point:55 275
1445966843.9795	crab 1978 has died of old age at point:10 223
1445966843.9804	crab 11077 has died of old age at point:42 213
1445966843.9813	crab 11078 has died of old age at point:16 140
1445966843.9822	crab 11079 has died of old age at point:42 278
1445966843.9827	crab 11177 has died of old age at point:54 261
1445966843.9835	crab 11178 has died of old age at point:19 213
1445966843.9844	crab 11777 has died of old age at point:16 142
1445966843.9852	crab 11778 has died of old age at point:19 210
1445966843.9861	skeleton 118315 has died of old age at point:49 271
1445966843.9868	skeleton 118316 has died of old age at point:15 245
1445966843.9877	skeleton 118317 has died of old age at point:11 212
1445966843.9885	skeleton 118318 has died of old age at point:72 297
1445966843.9893	bat 11986 has died of old age at point:19 139
1445966843.9901	bat 11987 has died of old age at point:22 226
1445966843.9909	bat 11988 has died of old age at point:15 153
1445966843.9918	skeleton 122315 has died of old age at point:55 143
1445966843.9926	skeleton 122316 has died of old age at point:25 154
1445966843.9934	skeleton 122317 has died of old age at point:7 223
1445966843.9942	skeleton 122318 has died of old age at point:73 247
1445966843.9951	skeleton 122319 has died of old age at point:15 297
1445966843.9959	skeleton 122320 has died of old age at point:13 223
1445966843.9963	skeleton 122321 has died of old age at point:7 250
1445966869.9496	bat 1184 has died of old age at point:52 270
1445966869.9507	bat 1381 has died of old age at point:43 211
1445966869.9517	goblin 1543 has died of old age at point:20 153
1445966869.9525	goblin 1644 has died of old age at point:36 276
1445966869.9534	goblin 1645 has died of old age at point:28 155
1445966869.9539	bat 11983 has died of old age at point:39 221
1445966869.9548	skeleton 12237 has died of old age at point:35 223
1445966895.9475	goblin 1642 has died of old age at point:50 275
1445966895.9485	bat 11981 has died of old age at point:13 212
1445966921.948	goblin 1641 has died of old age at point:10 213
1445967176.0408	rat 1020 has died of old age at point:9 292
1445967176.0414	rat 1021 has died of old age at point:36 124
1445967176.0419	rat 1022 has died of old age at point:50 259
1445967176.0428	rat 1023 has died of old age at point:22 207
1445967176.0432	rat 1024 has died of old age at point:40 266
1445967176.0441	rat 1025 has died of old age at point:27 153
1445967176.0446	rat 1026 has died of old age at point:44 224
1445967176.0454	bat 1180 has died of old age at point:49 279
1445967176.0464	bat 1181 has died of old age at point:41 213
1445967176.0469	bat 1182 has died of old age at point:46 144
1445967176.0474	bat 1183 has died of old age at point:20 153
1445967176.0482	bat 1184 has died of old age at point:35 266
1445967176.0491	bat 1185 has died of old age at point:18 143
1445967176.0499	bat 1280 has died of old age at point:14 208
1445967176.0504	bat 1281 has died of old age at point:48 276
1445967176.0508	bat 1282 has died of old age at point:74 128
1445967176.0513	bat 1283 has died of old age at point:33 267
1445967176.0522	bat 1284 has died of old age at point:43 283
1445967176.053	bat 1285 has died of old age at point:40 123
1445967176.0535	bat 1380 has died of old age at point:18 157
1445967176.0542	bat 1381 has died of old age at point:10 246
1445967176.0546	bat 1382 has died of old age at point:50 274
1445967176.0551	bat 1383 has died of old age at point:14 223
1445967176.0555	bat 1384 has died of old age at point:74 223
1445967176.056	bat 1385 has died of old age at point:39 130
1445967176.0569	goblin 1540 has died of old age at point:14 291
1445967176.0578	goblin 1541 has died of old age at point:8 290
1445967176.0586	goblin 1542 has died of old age at point:46 223
1445967176.0595	goblin 1543 has died of old age at point:54 278
1445967176.0599	goblin 1544 has died of old age at point:50 276
1445967176.0608	goblin 1545 has died of old age at point:39 207
1445967176.0618	goblin 1546 has died of old age at point:46 207
1445967176.063	goblin 1547 has died of old age at point:45 207
1445967176.064	goblin 1548 has died of old age at point:43 216
1445967176.0648	goblin 1549 has died of old age at point:8 250
1445967176.0657	goblin 15410 has died of old age at point:12 294
1445967176.0664	goblin 15411 has died of old age at point:8 243
1445967176.0672	goblin 15412 has died of old age at point:52 141
1445967176.0682	goblin 15413 has died of old age at point:44 216
1445967176.069	goblin 15414 has died of old age at point:48 272
1445967176.0695	goblin 1640 has died of old age at point:44 211
1445967176.0704	goblin 1641 has died of old age at point:56 258
1445967176.0713	goblin 1642 has died of old age at point:41 138
1445967176.0722	goblin 1643 has died of old age at point:46 142
1445967176.073	goblin 1644 has died of old age at point:38 286
1445967176.0739	goblin 1645 has died of old age at point:13 139
1445967176.0748	goblin 1646 has died of old age at point:75 126
1445967176.0757	goblin 1647 has died of old age at point:35 123
1445967176.0765	goblin 1648 has died of old age at point:46 282
1445967176.0773	goblin 1649 has died of old age at point:15 226
1445967176.0781	goblin 16410 has died of old age at point:16 157
1445967176.0789	goblin 16411 has died of old age at point:46 282
1445967176.0793	goblin 16412 has died of old age at point:43 123
1445967176.0803	goblin 16413 has died of old age at point:75 128
1445967176.0812	goblin 16414 has died of old age at point:33 225
1445967176.082	rat 1720 has died of old age at point:49 281
1445967176.0829	rat 1721 has died of old age at point:43 124
