
1445969810.5595	 Player Lazarus 796 	 has attacked a mob, player hp:65
1445969811.381	 Player Lazarus 796 	 has attacked a mob, player hp:58
1445969811.3812	Player Lazarus 796 	has killed rat 1022 at point: 14 212
1445969812.819	 Player derek 923 	 is at point: 28 234
1445969818.8825	 Player Wieath 872 	 is at point: 9 228
1445969819.3208	 Player Lazarus 796 	 has attacked a mob, player hp:80
1445969819.8684	 Player derek 923 	 is at point: 29 235
1445969820.1719	 Player Lazarus 796 	 has attacked a mob, player hp:76
1445969820.9882	 Player Lazarus 796 	 has attacked a mob, player hp:72
1445969821.2174	 Player BOB 820 	 is at point: 48 217
1445969821.7914	 Player Lazarus 796 	 has attacked a mob, player hp:66
1445969821.7917	Player Lazarus 796 	has killed rat 1021 at point: 11 207
1445969824.5007	 Player BOB 820 	 is at point: 33 229
1445969827.958	 Player Lazarus 796 	 is at point: 21 204
1445969829.7022	 Player derek 923 	 is at point: 51 241
1445969831.6568	 Player Zammi 950 	 is at point: 21 204
1445969832.93	 Player B77W 959 	 has left the game at point: 155 286
1445969834.1685	 Player BOB 820 	 is at point: 55 241
1445969834.602	 Player derek 923 	 has left the game at point: 127 299
1445969835.6333	 Player BOB 820 	 is at point: 57 248
1445969839.7644	 Player Wieath 872 	 has attacked a mob, player hp:80
1445969840.4166	 Player BOB 820 	 is at point: 56 243
1445969840.5804	 Player Wieath 872 	 has attacked a mob, player hp:79
1445969840.5806	Player Wieath 872 	has killed rat 1321 at point: 10 225
1445969843.1158	 Player BOB 820 	 has attacked a mob, player hp:80
1445969843.9328	 Player BOB 820 	 has attacked a mob, player hp:75
1445969843.9329	Player BOB 820 	has killed rat 12021 at point: 56 245
1445969844.3848	 Player derek 923 	 has left the game at point: 38 245
1445969844.7466	 Player Wieath 872 	 has attacked a mob, player hp:80
1445969845.1644	 Player B77W 959 	 has left the game at point: 27 209
1445969845.5637	 Player Wieath 872 	 has attacked a mob, player hp:80
1445969846.3808	 Player Wieath 872 	 has attacked a mob, player hp:77
1445969846.3809	Player Wieath 872 	has killed rat 1322 at point: 17 223
1445969847.8343	 Player derek 923 	 is at point: 40 253
1445969849.097	 Player Wieath 872 	 is at point: 13 229
1445969850.2728	 Player Zammi 950 	 is at point: 6 192
1445969850.6663	 Player BOB 820 	 has attacked a mob, player hp:80
1445969850.8346	 Player derek 923 	 is at point: 31 252
1445969851.4833	 Player BOB 820 	 has attacked a mob, player hp:76
1445969851.4835	Player BOB 820 	has killed rat 12020 at point: 47 252
1445969854.0338	 Player derek 923 	 is at point: 28 240
1445969854.5754	 Player derek 923 	 is at point: 28 240
1445969854.9714	 Player Zammi 950 	 is at point: 14 180
1445969855.3999	 Player BOB 820 	 has left the game at point: 127 299
1445969855.6884	 Player Lazarus 796 	 is at point: 6 192
1445969855.6974	 Player Wieath 872 	 has attacked a mob, player hp:80
1445969855.767	 Player B77W 959 	 is at point: 21 204
1445969856.5134	 Player Wieath 872 	 has attacked a mob, player hp:80
1445969857.3305	 Player Wieath 872 	 has attacked a mob, player hp:75
1445969857.3307	Player Wieath 872 	has killed rat 12120 at point: 21 239
1445969858.005	 Player Zammi 950 	 has attacked a mob, player hp:80
1445969891.9643	 Player Rusty has logged in and is assigned the id 799 	  point:14 235
1445969909.8447	 Player Nicey has logged in and is assigned the id 813 	  point:13 223
1445969916.4781	 Player Lazarus has logged in and is assigned the id 829 	  point:21 211
1445969920.5825	 Player Lazarus 829 	 is at point: 23 204
1445969926.67	 Player Lazarus 829 	 is at point: 29 199
1445969930.8785	 Player chenzo has logged in and is assigned the id 842 	  point:45 211
1445969941.8359	 Player Lazarus 829 	 is at point: 46 205
1445969943.3862	 Player Zero has logged in and is assigned the id 856 	  point:15 233
1445969946.4531	 Player Lazarus 829 	 has left the game at point: 154 143
1445969947.6925	 Player chenzo 842 	 has attacked a mob, player hp:80
1445969948.5091	 Player chenzo 842 	 has attacked a mob, player hp:73
1445969949.3259	 Player chenzo 842 	 has attacked a mob, player hp:70
1445969950.1421	 Player chenzo 842 	 has attacked a mob, player hp:70
1445969950.959	 Player chenzo 842 	 has attacked a mob, player hp:65
1445969950.9593	Player chenzo 842 	has killed rat 1120 at point: 45 207
1445969952.6691	 Player BOB has logged in and is assigned the id 879 	  point:16 235
1445969954.2592	 Player chenzo 842 	 has attacked a mob, player hp:68
1445969955.0752	 Player chenzo 842 	 has attacked a mob, player hp:63
1445969955.8923	 Player chenzo 842 	 has attacked a mob, player hp:58
1445969956.7093	 Player chenzo 842 	 has attacked a mob, player hp:52
1445969957.5257	 Player chenzo 842 	 has attacked a mob, player hp:45
1445969958.3424	 Player chenzo 842 	 has attacked a mob, player hp:38
1445969959.1586	 Player chenzo 842 	 has attacked a mob, player hp:37
1445969959.1587	Player chenzo 842 	has killed rat 1121 at point: 40 207
1445969959.9316	 Player BOB 879 	 has attacked a mob, player hp:80
1445969960.747	 Player BOB 879 	 has attacked a mob, player hp:72
1445969960.7472	Player BOB 879 	has killed rat 12121 at point: 18 237
1445969964.463	 Player BOB 879 	 has attacked a mob, player hp:78
1445969965.2791	 Player BOB 879 	 has attacked a mob, player hp:74
1445969965.2792	Player BOB 879 	has killed rat 12120 at point: 27 235
1445969965.3211	 Player Lazarus 829 	 has left the game at point: 51 205
1445969968.2859	 Player Rherac has logged in and is assigned the id 905 	  point:41 224
1445969969.2662	 Player Lazarus 829 	 has attacked a mob, player hp:80
1445969970.0986	 Player Lazarus 829 	 has attacked a mob, player hp:80
1445969970.0988	Player Lazarus 829 	has killed rat 1122 at point: 43 216
1445969972.9016	 Player Lazarus 829 	 is at point: 42 217
1445969975.6032	 Player Zero 856 	 is at point: 17 241
1445969976.6753	 Player chenzo 842 	 is at point: 40 204
1445969978.3204	 Player Lazarus 829 	 is at point: 40 229
1445969982.5928	 Player Zero 856 	 is at point: 25 253
1445969983.3301	 Player BOB 879 	 is at point: 29 240
