1445969690,Player,Lazarus,has,logged,in,and,is,assigned,the,id,796,point:14,210
1445969730,Player,BOB,has,logged,in,and,is,assigned,the,id,820,point:42,224
1445969736,Player,Rherac,has,logged,in,and,is,assigned,the,id,831,point:15,234
1445969743,Player,Lazarus,796,has,left,the,game,at,point:,155,286,,
1445969745,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969746,Player,BOB,820,has,attacked,a,"mob,",player,hp:80,,,,
1445969746,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:73,,,,
1445969746,Player,BOB,820,has,attacked,a,"mob,",player,hp:71,,,,
1445969747,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:67,,,,
1445969747,Player,BOB,820,has,attacked,a,"mob,",player,hp:68,,,,
1445969748,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:61,,,,
1445969748,Player,BOB,820,has,attacked,a,"mob,",player,hp:69,,,,
1445969748,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:61,,,,
1445969749,Player,BOB,820,has,attacked,a,"mob,",player,hp:64,,,,
1445969749,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:55,,,,
1445969749,Player,Lazarus,796,has,killed,rat,72184,at,point:,157,283,,
1445969750,Player,BOB,820,has,attacked,a,"mob,",player,hp:60,,,,
1445969750,Player,BOB,820,has,killed,rat,1221,at,point:,39,223,,
1445969754,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969754,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:77,,,,
1445969755,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:76,,,,
1445969756,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:68,,,,
1445969757,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:65,,,,
1445969757,Player,Lazarus,796,has,killed,rat,72182,at,point:,157,281,,
1445969758,Player,Wieath,has,logged,in,and,is,assigned,the,id,872,point:15,225
1445969761,Player,BOB,820,is,at,point:,51,224,,,,,
1445969761,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969762,Player,BOB,820,has,attacked,a,"mob,",player,hp:69,,,,
1445969762,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:73,,,,
1445969762,Player,BOB,820,has,attacked,a,"mob,",player,hp:64,,,,
1445969763,Player,BOB,820,is,at,point:,47,217,,,,,
1445969763,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:64,,,,
1445969764,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:62,,,,
1445969764,Player,BOB,820,has,attacked,a,"mob,",player,hp:56,,,,
1445969765,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:57,,,,
1445969765,Player,Lazarus,796,has,killed,rat,72181,at,point:,153,281,,
1445969765,Player,BOB,820,has,attacked,a,"mob,",player,hp:49,,,,
1445969765,Player,BOB,820,has,killed,rat,1120,at,point:,48,217,,
1445969766,Player,BOB,820,is,at,point:,47,217,,,,,
1445969769,Player,BOB,820,has,attacked,a,"mob,",player,hp:80,,,,
1445969769,Player,BOB,820,has,attacked,a,"mob,",player,hp:72,,,,
1445969770,Player,BOB,820,has,attacked,a,"mob,",player,hp:68,,,,
1445969771,Player,BOB,820,has,attacked,a,"mob,",player,hp:65,,,,
1445969771,Player,BOB,820,has,killed,rat,1122,at,point:,43,212,,
1445969775,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969776,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:71,,,,
1445969777,Player,BOB,820,has,attacked,a,"mob,",player,hp:68,,,,
1445969777,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:66,,,,
1445969778,Player,BOB,820,has,attacked,a,"mob,",player,hp:65,,,,
1445969778,Player,BOB,820,has,killed,rat,1121,at,point:,41,207,,
1445969778,Player,derek,has,logged,in,and,is,assigned,the,id,923,point:44,235
1445969778,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:67,,,,
1445969779,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:63,,,,
1445969780,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:57,,,,
1445969780,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:58,,,,
1445969780,Player,Lazarus,796,has,killed,rat,72183,at,point:,153,283,,
1445969781,Player,BOB,820,has,left,the,game,at,point:,154,143,,
1445969785,Player,Wieath,872,is,at,point:,14,228,,,,,
1445969785,Player,Wieath,872,has,attacked,a,"mob,",player,hp:80,,,,
1445969786,Player,Wieath,872,has,attacked,a,"mob,",player,hp:74,,,,
1445969787,Player,Wieath,872,has,attacked,a,"mob,",player,hp:67,,,,
1445969788,Player,derek,923,is,at,point:,45,241,,,,,
1445969788,Player,Wieath,872,has,attacked,a,"mob,",player,hp:62,,,,
1445969789,Player,Wieath,872,has,attacked,a,"mob,",player,hp:58,,,,
1445969789,Player,Wieath,872,has,killed,rat,1320,at,point:,11,229,,
1445969796,Player,Zammi,has,logged,in,and,is,assigned,the,id,950,point:22,210
1445969796,Player,derek,923,is,at,point:,45,240,,,,,
1445969797,Player,Lazarus,796,has,left,the,game,at,point:,27,209,,
1445969798,Player,B77W,has,logged,in,and,is,assigned,the,id,959,point:17,210
1445969800,Player,derek,923,is,at,point:,40,228,,,,,
1445969803,Player,derek,923,is,at,point:,34,229,,,,,
1445969803,Player,BOB,820,has,left,the,game,at,point:,51,205,,
1445969805,Player,derek,923,has,attacked,a,"mob,",player,hp:80,,,,
1445969806,Player,derek,923,has,attacked,a,"mob,",player,hp:76,,,,
1445969806,Player,derek,923,has,killed,rat,11920,at,point:,35,235,,
1445969807,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969808,Player,derek,923,has,attacked,a,"mob,",player,hp:79,,,,
1445969808,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:71,,,,
1445969809,Player,derek,923,has,attacked,a,"mob,",player,hp:73,,,,
1445969809,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:70,,,,
1445969810,Player,derek,923,has,attacked,a,"mob,",player,hp:68,,,,
1445969810,Player,derek,923,has,killed,rat,11921,at,point:,32,234,,
1445969810,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:66,,,,
1445969811,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:65,,,,
1445969811,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:58,,,,
1445969811,Player,Lazarus,796,has,killed,rat,1022,at,point:,14,212,,
1445969813,Player,derek,923,is,at,point:,28,234,,,,,
1445969819,Player,Wieath,872,is,at,point:,9,228,,,,,
1445969819,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:80,,,,
1445969820,Player,derek,923,is,at,point:,29,235,,,,,
1445969820,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:76,,,,
1445969821,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:72,,,,
1445969821,Player,BOB,820,is,at,point:,48,217,,,,,
1445969822,Player,Lazarus,796,has,attacked,a,"mob,",player,hp:66,,,,
1445969822,Player,Lazarus,796,has,killed,rat,1021,at,point:,11,207,,
1445969825,Player,BOB,820,is,at,point:,33,229,,,,,
1445969828,Player,Lazarus,796,is,at,point:,21,204,,,,,
